channel_id,tier,wd_item,wd_class,label,country,reason,alt_of
UC20Z339VAGN-nm-R9p8JtkA,0,,,International Highlife,,newsguard_validated,
UC23_j50MxNLXL-m-auTryCw,0,,,La Commère 43,,newsguard_validated,
UC23fsA2wYAXh-l3V8UwZ5oA,0,,,Giornale Trentino,,newsguard_validated,
UC25UWq7xeoDDA208h_59fHA,0,Q55608783,mass media|news media|news website|newspaper|online newspaper,МикВісті ,UA,newsguard_validated,
UC2B6dPVaiSskiOFu43rYQhA,0,,,DNA L'Alsace,FR,newsguard_validated,
UC2CMVhcb4-BYjdK23O5cwYA,0,,,The News Tribune,US,newsguard_validated,
UC2DvckbWYnpEndFtzLqK7hA,0,,,PR Newswire,,newsguard_validated,
UC2J8-ykgWRStTGy6uUvhr_A,0,,,Цензор.НЕТ,UA,newsguard_validated,
UC2Kh0bwXue3rHD43QWwanMA,0,Q16995214,newspaper,The Herald-Dispatch,United States,newsguard_validated,
UC2LJFCluJAb9d_CqD-8_PXQ,0,,,Lansing State Journal,,newsguard_validated,
UC2M-cBWlcz0Te4xGqWyXf7A,0,,,HSJ | Health Service Journal,GB,newsguard_validated,
UC2NTBsmAC2ePOrUkpRvogoA,0,,,KXLF News Channel,,newsguard_validated,
UC2P4DK1L7z96yI6DvdumMTA,0,,,Le Courrier picard,,newsguard_validated,
UC2RLOCKaGAoIbba0THYbcmA,0,,,PLUS SAINE LA VIE (Florence),CA,newsguard_validated,
UC2SRToIoKHCJ2q8OWwjB8Nw,0,,,Fdesouche,,newsguard_validated,
UC2T4mfwr_h0CebfTzR9bZFg,0,,,Spencer Fernando,,newsguard_validated,
UC2ULCjBeItodhpq9RTW2LjQ,0,,,KRTV NEWS,US,newsguard_validated,
UC2ZwIr41qIhexNUFPEFrK0g,0,,,Ostsee-Zeitung,DE,newsguard_validated,
UC2_r6Z93uDWKpBcsdTr9PGA,0,,,KTVL 10,,newsguard_validated,
UC2a35q7eyzkfoIusBzdH4Hw,0,Q188413,magazine|mass media|news magazine|news media|news website|newspaper|online newspaper,Newsweek,US,newsguard_validated,
UC2cJbBzyHM48MVFB6eOW9og,0,,,stern TV,DE,newsguard_validated,
UC2dKu6fuHwNDNddj4NCDEtA,0,,,Corriere Di Como,IT,newsguard_validated,
UC2dTfkMAnI7_kco6QK7sQuA,0,,,Gallup,,newsguard_validated,
UC2e297AOk27Z9NAmOy031cA,0,,,New Hampshire Public Radio,US,newsguard_validated,
UC2eFAktrNx-SB7H9-KrksbQ,0,,,DeKalbChampNews,,newsguard_validated,
UC2eSXgrPW78B0Jv3vq1cg0A,0,,,Східний Варіант,UA,newsguard_validated,
UC2ezfc64OTaeobrKC0ZT-2A,0,,,Objectif Sud,FR,newsguard_validated,
UC2fdSG8UHZJe_BhOuZAKYKw,0,,,TheMindUnleashedTV,US,newsguard_validated,
UC2g1kgfva1Afux2YSXFuYcg,0,,,Il Piccolo di Alessandria,IT,newsguard_validated,
UC2gtDxC9NsSsb_SJoJgVw3A,0,,,21Alive Creative Services ,,newsguard_validated,
UC2i-BljAg1w_MMMA1JuFm7w,0,Q1799045,newspaper,La Provence,FR,newsguard_validated,
UC2itzMBo0R0kHZ8cF7nrcaA,0,,,Oregon Public Broadcasting,US,newsguard_validated,
UC2jWQRsOnWPjv-dX4OM2d8A,0,,,Poughkeepsie Journal,,newsguard_validated,
UC2lCxEqj8bfRfYbK1FNNNkQ,0,,,Corriere della Sera,IT,newsguard_validated,
UC2lU2XMD2FmqkpnBeJs0rPQ,0,,,VIBE Magazine,,newsguard_validated,
UC2nqvDNblYWts-6SdAMVnEw,0,,,Kieler Nachrichten,DE,newsguard_validated,
UC2oGvjIJwxn1KeZR3JtE-uQ,0,Q15280975,television station,hromadske,UA,newsguard_validated,
UC2pkHcwD4gnU5p1LhrcbJkA,0,,,Salim Laïbi,FR,newsguard_validated,
