channel_id,label,wd_item,wd_class,country,language,tier_reason
UCAKB9wGGRccBDrvbbbmgetw,Norddeutscher Rundfunk,Q201275,mass media|news media|public broadcaster,Germany,,topic
UCAUHoE2Ykw0sguyi5AjhrjQ,Q13422005,Q13422005,mass media|news media|news website|television channel|television station,Iraq,,topic
UCAeWdyKJXGWmVAXFpgLNNTg,CBS Evening News,Q700402,mass media|news media|news program,,,topic+title
UCApLxl6oYQafxvykuoC2uxQ,Bloomberg HT,Q6087645,mass media|news media|news website|television station,Turkey,,topic
UCAuzsUtmDGpgZ-T9pg6NlgA,Ukraїner,Q85987519,mass media|news media|news website|newspaper|online newspaper,,,topic+title:alt
UCB0NxICFmGabAalD46J2i4A,Radiodiffusion Télévision de Djibouti,Q3416986,public broadcaster,Djibouti,,topic
UCB3Ws4PMU2f1UT0x5prMG2w,Al Majalla,Q7749675,magazine|mass media|news magazine|news media,,English,topic
UCB58cDLM3zZlgV6iIG9bdoQ,Dhaka Tribune,Q17064633,newspaper,,,topic+title
UCBMrOkjg3AbvLS5g1MhtlRQ,Drop Site News,Q127429085,mass media|news media|news website,United States,English,topic+title
UCBP0Ym0Z5dGh7U72VTtstoQ,Orange News,Q30950156,mass media|news media,,Standard Chinese,topic
UCBRWjgdwXsnWMI9-VKc4hWQ,Sol Play 91.5,Q136328055,mass media|news media|news website|newspaper|online newspaper|radio station,Argentina,,topic+title
UCBdj3-wcKGJXwmGjZdBOFHw,Searchlight,Q113268665,newspaper,,English,topic+title
UCBm4j5z_buTSr3q0iBHcVtw,Q60847986,Q60847986,newspaper,,German,topic
UCByY6kp5cVRCcR59eQz9hwQ,Global South World,Q139961274,mass media|news media,United Kingdom,English,topic+title
UCC-C46T69Ymv3WBeYMAFMRQ,Antara,Q571116,mass media|media company|news agency|news media,Indonesia,,topic+title
UCCCg3dqWsgGcBf2W8CbWCxw,BGodInspired,Q139601883,mass media|news media|news website|newspaper|online newspaper,United States,American English,topic+title
UCCCjc1piE1mIrhcE3ejENeA,Reporte Indigo,Q86493820,mass media|news media|news website|newspaper|online newspaper,Mexico,,topic+title
UCCKjgCudsO_Q52HJrmeb1wQ,Prachatai,Q6579863,mass media|news media|news website|newspaper|online newspaper,Thailand,English,topic+title
